Company,Model,Horsepower,Torque,Transmission Type,Drivetrain,Fuel Economy,Number of Doors,Price,Model Year Range,Body Type,Engine Type,Number of Cylinders
Ferrari,812 Superfast,789 hp,530 lb-ft,7-speed automatic,RWD,13/20 mpg,2,"$366,712",2018 - Present,Coupe,6.5L V12,12
Ferrari,F8 Tributo,710 hp,568 lb-ft,7-speed automatic,RWD,15/19 mpg,2,"$276,550",2020 - Present,Coupe,3.9L V8,8
Ferrari,Roma,611 hp,560 lb-ft,8-speed automatic,RWD,16/24 mpg,2,"$218,750",2021 - Present,Coupe,3.9L V8,8
Ferrari,Portofino M,612 hp,561 lb-ft,8-speed automatic,RWD,16/22 mpg,2,"$254,475",2021 - Present,Convertible,3.9L V8,8
Ferrari,SF90 Stradale,986 hp,590 lb-ft,8-speed automatic,AWD,18 mpg (combined),2,"$625,000",2020 - Present,Coupe,4.0L V8,8
Ferrari,488 Pista,711 hp,568 lb-ft,7-speed automatic,RWD,15/20 mpg,2,"$350,050",2019 - 2020,Coupe,3.9L V8,8
Ferrari,GTC4Lusso,680 hp,514 lb-ft,7-speed automatic,AWD,12/17 mpg,4,"$298,750",2017 - 2020,Hatchback,6.3L V12,12
Ferrari,488 GTB,661 hp,561 lb-ft,7-speed automatic,RWD,15/22 mpg,2,"$262,647",2016 - 2019,Coupe,3.9L V8,8
Ferrari,California T,553 hp,557 lb-ft,7-speed automatic,RWD,16/23 mpg,2,"$202,723",2015 - 2018,Convertible,3.9L V8,8
Ferrari,LaFerrari,950 hp,664 lb-ft,7-speed automatic,RWD,12 mpg (combined),2,"$1,420,000",2014 - 2016,Coupe,6.3L V12,12
Mahindra,XUV300,109 hp,200 Nm,"6-speed Manual, 6-speed AMT",FWD,13-20 km/l,5,Rs. 7.96 - 13.33 Lakh,2019 - present,SUV,"1.2L Turbo Petrol, 1.5L Turbo Diesel",3/4
Mahindra,Scorpio,140 hp,320 Nm,6-speed Manual,RWD,15 km/l,"5, 7",Rs. 12.57 - 16.53 Lakh,2020 - present,SUV,2.2L mHawk Diesel,4
Mahindra,Thar,"152 hp (petrol), 132 hp (diesel)","320 Nm (petrol), 300 Nm (diesel)","6-speed Manual, 6-speed AT",4WD,7-12 km/l,"4, 6",Rs. 12.11 - 16.86 Lakh,2020 - present,SUV,"2.0L Turbo Petrol, 2.2L mHawk Diesel",4
Mahindra,Bolero,75 hp,210 Nm,5-speed Manual,RWD,16 km/l,"5, 7",Rs. 8.67 - 9.39 Lakh,2001 - present,SUV,1.5L mHawk75 Diesel,3
Mahindra,Marazzo,121 hp,300 Nm,6-speed Manual,FWD,17 km/l,"7, 8",Rs. 12.4 - 14.12 Lakh,2018 - present,MPV,1.5L mHawk Diesel,4
Mahindra,Alturas G4,178 hp,420 Nm,7-speed Automatic,AWD,12 km/l,5,Rs. 28.74 - 31.73 Lakh,2018 - present,SUV,2.2L mHawk Diesel,4
Toyota,Camry,203-301 hp,182-267 lb-ft,8-speed automatic,FWD,26-34 mpg,4,"$25,045-$35,130",2018-2021,Sedan,2.5L 4-cylinder / 3.5L V6,4 / 6
Toyota,Corolla,169 hp,151 lb-ft,Continuously variable-speed automatic,FWD,30-33 mpg,4,"$20,025-$25,725",2019-2021,Sedan,2.0L 4-cylinder,4
Toyota,RAV4,203-219 hp,184-265 lb-ft,8-speed automatic,FWD / AWD,27-40 mpg,4,"$26,250-$37,330",2019-2021,SUV,2.5L 4-cylinder,4
Toyota,Highlander,295-295 hp,263-263 lb-ft,8-speed automatic,FWD / AWD,21-36 mpg,4,"$35,085-$47,230",2019-2021,SUV,3.5L V6,6
Toyota,4Runner,270 hp,278 lb-ft,5-speed automatic,RWD / 4WD,16-19 mpg,4,"$36,765-$50,745",2018-2021,SUV,4.0L V6,6
Toyota,Tacoma,159-278 hp,180-265 lb-ft,6-speed automatic / 6-speed manual,RWD / 4WD,18-23 mpg,2 / 4,"$26,150-$46,780",2019-2021,Pickup truck,2.7L 4-cylinder / 3.5L V6,4 / 6
Toyota,Tundra,381 hp,401 lb-ft,6-speed automatic,RWD / 4WD,13-17 mpg,2 / 4,"$33,675-$51,995",2018-2021,Pickup truck,5.7L V8,8
Ford,Mustang,310-760 hp,350-625 lb-ft,6-speed manual/10-speed automatic,RWD,16-21 mpg city / 24-32 mpg highway,2,"$28,450-$61,600",2015-2021,Coupe/Convertible,Gas V6/V8,4/6/2008
Ford,F-150,290-450 hp,265-510 lb-ft,6-speed automatic/10-speed automatic,RWD/4WD,16-20 mpg city / 22-26 mpg highway,2/4,"$28,940-$70,825",2015-2021,Pickup Truck,"Gas V6/V8, Diesel V6",6/8
Ford,Explorer,300-400 hp,310-415 lb-ft,10-speed automatic,FWD/AWD,18-21 mpg city / 24-28 mpg highway,4,"$33,860-$54,365",2015-2021,SUV,"Gas I4/V6, Hybrid V6",4/6
Ford,Escape,181-250 hp,190-280 lb-ft,8-speed automatic,FWD/AWD,23-26 mpg city / 31-34 mpg highway,4,"$26,130-$40,395",2015-2021,SUV,"Gas I3/I4, Hybrid I4",3/4
Ford,Edge,250-335 hp,275-380 lb-ft,8-speed automatic,FWD/AWD,21-22 mpg city / 28-29 mpg highway,4/5,"$32,250-$43,400",2015-2021,SUV,Gas I4/V6,4/6
Ford,Ranger,270 hp,310 lb-ft,10-speed automatic,RWD/4WD,21-23 mpg city / 26-26 mpg highway,4,"$24,820-$42,660",2019-2021,Pickup Truck,Gas I4,4
Ford,Bronco Sport,181-245 hp,190-275 lb-ft,8-speed automatic,4WD,23-25 mpg city / 28-32 mpg highway,4,"$26,820-$38,160",2021,SUV,Gas I3/I4,3/4
Chevrolet,Camaro,275-650,295-650,"Manual, Automatic",RWD,16-23 mpg,2,"$25,000-$72,000",2010-2021,Coupe,Gas,"4, 6, 2008"
Chevrolet,Corvette,490-755,465-715,"Manual, Automatic",RWD,15-23 mpg,2,"$60,000-$125,000",1953-2021,"Coupe, Convertible",Gas,"6, 8"
Chevrolet,Spark,98,94,CVT,FWD,30-33 mpg,4,"$13,400-$16,800",2013-2021,Hatchback,Gas,4
Chevrolet,Bolt EV,200,266,Electric,FWD,118 mpg-e,4,"$36,500-$41,700",2017-2021,Hatchback,Electric,N/A
Chevrolet,Equinox,170-252,203-260,Automatic,FWD/AWD,22-28 mpg,4/5,"$25,000-$35,000",2005-2021,SUV,Gas,"4, 6"
Chevrolet,Suburban,355,383,Automatic,RWD/4WD,15-20 mpg,4/5/6/8,"$51,700-$76,000",1935-2021,SUV,Gas,"6, 8"
Chevrolet,Tahoe,355-420,383-460,Automatic,RWD/4WD,15-22 mpg,4/5/6/8,"$49,000-$75,000",1995-2021,SUV,Gas,"6, 8"
Chevrolet,Silverado 1500,285-420,305-460,Automatic,RWD/4WD,16-23 mpg,2/4,"$28,000-$60,000",1999-2021,Truck,Gas,"6, 8"
Chevrolet,Colorado,200-308,191-369,"Manual, Automatic",RWD/4WD,17-22 mpg,2/4,"$26,000-$45,000",2004-2021,Truck,"Gas, Diesel","4, 5, 2006"
Chevrolet,Silverado HD (2500/3500),401-445,464-910,Automatic,RWD/4WD,13-20 mpg,2/4/2005,,,,,
Nissan,Altima,188-248,180-273,CVT,FWD,28-32 mpg,4,"$25,225-$36,550",2019-2022,Sedan,Gas,4
Nissan,Maxima,300,261,CVT,FWD,23-26 mpg,4,"$37,240-$44,030",2019-2022,Sedan,Gas,6
Nissan,Sentra,149-188,146-180,CVT,FWD,28-33 mpg,4,"$20,460-$24,940",2019-2022,Sedan,Gas,4
Nissan,Versa,122,114,CVT,FWD,32-35 mpg,4,"$15,650-$18,340",2019-2022,Sedan,Gas,4
Nissan,Rogue,181,181,CVT,FWD or AWD,27-30 mpg,4,"$26,980-$34,430",2019-2022,SUV,Gas,4
Nissan,Murano,260,240,CVT,FWD or AWD,20-24 mpg,4,"$32,610-$45,030",2019-2022,SUV,Gas,6
Nissan,Pathfinder,284-284,259-259,9-speed automatic,FWD or AWD,20-24 mpg,4,"$32,940-$45,340",2019-2022,SUV,Gas,6
Nissan,Armada,390,394,7-speed automatic,RWD or AWD,13-16 mpg,4,"$52,300-$69,050",2019-2022,SUV,Gas,8
Nissan,GT-R,565-600,467-481,6-speed automatic,AWD,16-20 mpg,2,"$113,540-$210,740",2019-2022,Sports Car,Gas,6
BMW,X1 sDrive28i,228 hp,258 lb-ft,8-speed Automatic,FWD,26/33 mpg,4,"$35,400",2020-2022,SUV,Turbocharged Gas I4,4
BMW,X3 xDrive30i,248 hp,258 lb-ft,8-speed Automatic,AWD,23/29 mpg,4,"$43,000",2020-2022,SUV,Turbocharged Gas I4,4
BMW,X5 xDrive40i,335 hp,330 lb-ft,8-speed Automatic,AWD,21/26 mpg,4,"$60,700",2020-2022,SUV,Turbocharged Gas I6,6
BMW,330i Sedan,255 hp,295 lb-ft,8-speed Automatic,RWD,26/36 mpg,4,"$42,250",2020-2022,Sedan,Turbocharged Gas I4,4
BMW,530i Sedan,248 hp,258 lb-ft,8-speed Automatic,RWD,24/34 mpg,4,"$56,400",2020-2022,Sedan,Turbocharged Gas I4,4
BMW,740i Sedan,335 hp,330 lb-ft,8-speed Automatic,RWD,22/29 mpg,4,"$86,800",2020-2022,Sedan,Turbocharged Gas I6,6
BMW,M4 Coupe,473 hp,406 lb-ft,6-speed Manual,RWD,16/23 mpg,2,"$73,100",2020-2022,Coupe,Twin-Turbocharged Gas I6,6
BMW,M8 Convertible,600 hp,553 lb-ft,8-speed Automatic,AWD,15/21 mpg,2,"$142,500",2020-2022,Convertible,Twin-Turbocharged Gas V8,8
Mercedes-Benz,C-Class,255 hp,273 lb-ft,9-speed automatic,RWD,24/35 mpg,4,"$43,200",2022,Sedan,Inline-4,4
Mercedes-Benz,E-Class,255 hp,273 lb-ft,9-speed automatic,RWD,22/31 mpg,4,"$55,300",2022,Sedan,Inline-4,4
Mercedes-Benz,S-Class,429 hp,384 lb-ft,9-speed automatic,AWD,16/24 mpg,4,"$109,800",2022,Sedan,V-8,8
Mercedes-Benz,G-Class,416 hp,450 lb-ft,9-speed automatic,AWD,13/17 mpg,4,"$131,750",2022,SUV,V-8,8
Mercedes-Benz,GLC-Class,255 hp,273 lb-ft,9-speed automatic,RWD,22/29 mpg,4,"$43,200",2022,SUV,Inline-4,4
Audi,A3,184 hp,221 lb-ft,7-speed auto-shift manual,Front-wheel drive,28/36 mpg,4 doors,"$33,300",2019-present,Sedan,2.0 L 4-cylinder,4
Audi,A4,201 hp,236 lb-ft,7-speed auto-shift manual,All-wheel drive,24/31 mpg,4 doors,"$39,100",2016-present,Sedan,2.0 L 4-cylinder,4
Audi,A5,261 hp,273 lb-ft,7-speed auto-shift manual,All-wheel drive,24/31 mpg,2 doors,"$44,000",2018-present,Coupe,2.0 L 4-cylinder,4
Audi,Q3,228 hp,258 lb-ft,8-speed automatic,All-wheel drive,19/27 mpg,4 doors,"$36,000",2019-present,SUV,2.0 L 4-cylinder,4
Audi,Q5,261 hp,273 lb-ft,7-speed auto-shift manual,All-wheel drive,22/27 mpg,4 doors,"$44,100",2018-present,SUV,2.0 L 4-cylinder,4
Audi,Q7,248 hp,273 lb-ft,8-speed automatic,All-wheel drive,19/23 mpg,4 doors,"$54,950",2017-present,SUV,2.0 L 4-cylinder,4
Volkswagen,Golf,110-292,147-295,"Automatic, Manual","FWD, AWD",23-34 mpg,"2, 4","$23,195",1974-2022,Hatchback,"Gas, Diesel","4, 6"
Volkswagen,Jetta,147-228,184-258,"Automatic, Manual",FWD,25-36 mpg,4,"$18,995",1980-2022,Sedan,Gas,"4, 6"
Volkswagen,Passat,174-276,206-295,"Automatic, Manual",FWD,23-34 mpg,"4, 5","$24,990",1973-2022,Sedan,"Gas, Diesel","4, 6, 2008"
Volkswagen,Atlas,235-276,258-266,Automatic,"FWD, AWD",18-22 mpg,"4, 5, 2007","$31,545",2018-2022,SUV,"Gas, Hybrid","4, 6, 2008"
Volkswagen,Tiguan,184-268,221-258,Automatic,"FWD, AWD",21-29 mpg,"4, 5, 2007","$25,245",2007-2022,SUV,Gas,"4, 6"
Porsche,718 Boxster,300 hp,280 lb-ft,6-speed manual,RWD,21/28 mpg,2,"$62,000",2017-2021,Convertible,Turbocharged flat-4,4
Porsche,718 Cayman,300 hp,280 lb-ft,6-speed manual,RWD,21/28 mpg,2,"$61,500",2017-2021,Coupe,Turbocharged flat-4,4
Porsche,911,379 hp,331 lb-ft,8-speed PDK,AWD,20/29 mpg,2,"$101,200",2020-2021,Coupe/Convertible,Twin-turbocharged flat-6,6
Porsche,Panamera,325 hp,331 lb-ft,8-speed PDK,AWD,21/27 mpg,4,"$87,200",2020-2021,Sedan,Turbocharged V6,6
Porsche,Cayenne,335 hp,332 lb-ft,8-speed Tiptronic S,AWD,19/23 mpg,4,"$67,500",2020-2021,SUV,Turbocharged V6,6
Porsche,Macan,248 hp,273 lb-ft,7-speed PDK,AWD,19/23 mpg,4,"$52,100",2020-2021,SUV,Turbocharged inline-4,4
Rolls-Royce,Ghost,563,605 lb-ft,8-Speed Automatic,RWD,18 MPG,4,"$332,500",2010-2021,Sedan,V12,12
Rolls-Royce,Wraith,624,590 lb-ft,8-Speed Automatic,RWD,14 MPG,2,"$338,700",2014-2021,Coupe,V12,12
Rolls-Royce,Dawn,563,605 lb-ft,8-Speed Automatic,RWD,18 MPG,4,"$346,300",2016-2021,Convertible,V12,12
Rolls-Royce,Phantom,563,664 lb-ft,8-Speed Automatic,RWD,14 MPG,4,"$455,000",2004-2021,Sedan,V12,12
Rolls-Royce,Cullinan,563,627 lb-ft,8-Speed Automatic,AWD,14 MPG,4,"$341,125",2019-2021,SUV,V12,12
McLaren,540C,533 hp,398 lb-ft,7-speed automatic,RWD,22 mpg combined,2,"$160,000",2016-2018,Coupe,V8,8
McLaren,570S,562 hp,443 lb-ft,7-speed automatic,RWD,21 mpg combined,2,"$192,500",2016-2018,Coupe,V8,8
McLaren,570GT,562 hp,443 lb-ft,7-speed automatic,RWD,20 mpg combined,2,"$202,950",2017-2018,Coupe,V8,8
McLaren,600LT,592 hp,457 lb-ft,7-speed automatic,RWD,19 mpg combined,2,"$242,500",2019,Coupe,V8,8
McLaren,720S,710 hp,568 lb-ft,7-speed automatic,RWD,18 mpg combined,2,"$299,000",2018-2020,Coupe,V8,8
McLaren,Artura,671 hp,531 lb-ft,8-speed automatic,RWD,21 mpg combined,2,"$225,000",2022- present,Coupe,V6,6
Lexus,ES,203-302,184-267 lb-ft,Automatic,FWD,25-44 mpg,4,"$39,900-$48,900",1989-Present,Sedan,Gas/Electric,4/6
Lexus,IS,241-311,258-280 lb-ft,Automatic,RWD/AWD,22-32 mpg,4,"$39,050-$45,100",1998-Present,Sedan,Gas,4/6
Lexus,GS,241-311,258-280 lb-ft,Automatic,RWD/AWD,20-28 mpg,4,"$51,065-$52,760",1993-2020,Sedan,Gas,6/8
Lexus,LS,416-471,442-398 lb-ft,Automatic,RWD/AWD,18-28 mpg,4,"$76,000-$82,825",1989-Present,Sedan,Gas/Hybrid,6/8
Lexus,UX,169-181,151-151 lb-ft,CVT,FWD/AWD,29-39 mpg,4,"$32,900-$40,900",2019-Present,SUV,Gas/Hybrid,4
Lexus,NX,235-239,258 lb-ft,Automatic,FWD/AWD,22-33 mpg,4,"$38,935-$47,770",2015-Present,SUV,Gas/Hybrid,4
Lexus,RX,290-308,263-268 lb-ft,Automatic,FWD/AWD,19-31 mpg,4/5,"$45,070-$50,620",1998-Present,SUV,Gas/Hybrid,6/8
Lexus,GX,301,329 lb-ft,Automatic,4WD,15-18 mpg,4/5,"$54,225-$64,365",2003-Present,SUV,Gas,8
Lexus,LX,383,403 lb-ft,Automatic,4WD,12-16 mpg,4/5,"$89,080-$99,710",1996-Present,SUV,Gas,8
Hyundai,Elantra,147 - 201,132 - 195,"Manual, Automatic, CVT",FWD,33/43 mpg,4,"$19,650 - $28,100",2017 - 2022,Sedan,Inline-4,4
Hyundai,Sonata,191 - 290,181 - 311,"Automatic, Dual-Clutch","FWD, AWD",25/38 mpg,4,"$24,100 - $34,850",2018 - 2022,Sedan,"Inline-4, Inline-4 Hybrid, Inline-6","4, 6"
Hyundai,Tucson,161 - 181,150 - 175,"Automatic, Dual-Clutch","FWD, AWD",23/33 mpg,4,"$24,950 - $37,350",2016 - 2022,SUV,"Inline-4, Inline-4 Hybrid",4
Hyundai,Santa Fe,191 - 277,181 - 311,"Automatic, Dual-Clutch","FWD, AWD",21/28 mpg,4,"$28,025 - $43,200",2019 - 2022,SUV,"Inline-4, Inline-4 Hybrid, V6","4, 6"
Hyundai,Kona,147 - 195,132 - 195,"Automatic, Dual-Clutch","FWD, AWD",26/30 mpg,4,"$20,500 - $29,400",2018 - 2022,SUV,"Inline-4, Inline-4 EV",4
Hyundai,Accent,120,113,CVT,FWD,33/41 mpg,4,"$17,900",2019-2021,Sedan,Gas,4
Hyundai,Palisade,291,262,8-speed automatic,FWD,19/26 mpg,4,"$33,700",2022,SUV,Gas,6
Kia,Forte,147 hp,132 lb-ft,CVT or 6-speed manual,FWD,31/41 mpg,4,"$17,890 - $28,390",2019 - 2022,Sedan,2.0L 4-cylinder or 1.6L turbocharged 4-cylinder,4
Kia,Optima,185 hp - 290 hp,178 lb-ft - 311 lb-ft,6-speed automatic or 7-speed dual-clutch,FWD or AWD,24/33 mpg - 27/37 mpg,4,"$24,355 - $32,790",2019 - 2021,Sedan,"2.4L 4-cylinder, 1.6L turbocharged 4-cylinder, or 2.0L turbocharged 4-cylinder",4
Kia,Stinger,255 hp - 368 hp,260 lb-ft - 376 lb-ft,8-speed automatic,RWD or AWD,17/25 mpg - 22/29 mpg,4,"$36,090 - $53,250",2018 - 2022,Sedan,2.0L turbocharged 4-cylinder or 3.3L twin-turbocharged V6,4 or 6
Kia,Sorento,191 hp - 281 hp,181 lb-ft - 311 lb-ft,6-speed automatic or 8-speed automatic,FWD or AWD,21/29 mpg - 22/29 mpg,4 or 5,"$29,390 - $42,590",2019 - 2022,SUV,"2.4L 4-cylinder, 2.5L turbocharged 4-cylinder, or 3.3L V6",4 or 6
Kia,Soul,147 hp - 201 hp,132 lb-ft - 195 lb-ft,"6-speed manual, CVT, or 7-speed dual-clutch",FWD,27/33 mpg - 29/35 mpg,4,"$19,190 - $28,350",2020 - 2022,Hatchback,2.0L 4-cylinder or 1.6L turbocharged 4-cylinder,4
Kia,Telluride,291 hp,262 lb-ft,8-speed automatic,FWD or AWD,19/26 mpg - 20/27 mpg,4 or 5,"$32,790 - $47,390",2020 - 2022,SUV,3.8L V6,6
Mazda,MX-5,181,151,Manual,RWD,29/34 mpg,2,"$26,830",2019-2022,Convertible,Gasoline,4
Mazda,Mazda3,155-250,150-320,"Automatic, Manual","FWD, AWD",26-36 mpg,"4, 5","$20,650",2019-2022,"Sedan, Hatchback",Gasoline,"4, 6"
Mazda,Mazda6,187-250,186-310,"Automatic, Manual",FWD,23-31 mpg,"4, 5","$24,325",2019-2022,Sedan,Gasoline,"4, 6"
Mazda,CX-3,146,146,Automatic,"FWD, AWD",29-34 mpg,4,"$20,640",2019-2022,SUV,Gasoline,4
Mazda,CX-5,187-227,186-310,Automatic,"FWD, AWD",24-31 mpg,"4, 5","$25,270",2019-2022,SUV,Gasoline,"4, 6"
Mazda,CX-9,227-250,310,Automatic,"FWD, AWD",22-26 mpg,"4, 6, 2007","$35,060",2019-2022,SUV,Gasoline,"4, 6"
Subaru,Ascent,260 hp,277 lb-ft,CVT,AWD,23/27 mpg,4,"$32,295",2019-2022,SUV,H4,4
Subaru,Impreza,152 hp,145 lb-ft,5-speed manual,AWD,24/31 mpg,4/5,"$18,795",2019-2022,Hatchback,H4,4
Subaru,Legacy,182 hp,176 lb-ft,CVT,AWD,27/35 mpg,4/5,"$22,995",2019-2022,Sedan,H4,4
Subaru,Outback,182 hp,176 lb-ft,CVT,AWD,26/33 mpg,4/5,"$26,795",2019-2022,Wagon/SUV,H4,4
Subaru,BRZ,205 hp,156 lb-ft,6-speed manual,RWD,21/29 mpg,2,"$28,845",2019-2022,Coupe,H4,4
Subaru,WRX,268 hp,258 lb-ft,6-speed manual,AWD,20/27 mpg,4,"$27,495",2019-2022,Sedan,H4,4
Subaru,Crosstrek,152 hp,145 lb-ft,CVT,AWD,27/34 mpg,4/5,"$22,245",2019-2022,Wagon/SUV,H4,4
Subaru,Crosstrek Hybrid,137 hp (gasoline engine) 118 hp (electric motor),134 lb-ft,CVT,AWD,35/90 mpg,4/5,"$36,395",2019-2022,Wagon/SUV,H4,4
Mitsubishi,Outlander,166 hp,162 lb-ft,CVT,"FWD, AWD",27/30 mpg,4,"$26,570 - $34,420",2014 - Present,SUV,2.4L I4,4
Mitsubishi,Eclipse Cross,152 hp,184 lb-ft,CVT,"FWD, AWD",25/28 mpg,4,"$24,590 - $31,490",2018 - Present,SUV,1.5L I4,4
Mitsubishi,Mirage,78 hp,74 lb-ft,CVT,FWD,36/43 mpg,4,"$14,295 - $16,995",2014 - Present,Hatchback,1.2L I3,3
Mitsubishi,Mirage G4,78 hp,74 lb-ft,CVT,FWD,35/41 mpg,4,"$15,295 - $16,995",2017 - Present,Sedan,1.2L I3,3
Mitsubishi,Outlander Sport,148 hp,145 lb-ft,CVT,"FWD, AWD",24/30 mpg,4,"$23,590 - $25,590",2011 - Present,SUV,2.0L I4,4
Tesla,Model S,670-1020 hp,713-920 lb-ft,Single-Speed Automatic,AWD,326-402 miles per charge,4,"$79,990-$169,990",2012-2023,Sedan,Electric,0
Tesla,Model 3,283-450 hp,307-471 lb-ft,Single-Speed Automatic,RWD or AWD,263-358 miles per charge,4,"$39,990-$59,990",2017-2023,Sedan,Electric,0
Tesla,Model X,670-1020 hp,713-920 lb-ft,Single-Speed Automatic,AWD,299-371 miles per charge,4 or 5,"$89,990-$139,990",2015-2023,SUV,Electric,0
Tesla,Model Y,283-450 hp,307-471 lb-ft,Single-Speed Automatic,RWD or AWD,244-326 miles per charge,4 or 5,"$41,190-$63,190",2020-2023,SUV,Electric,0
Dodge,Challenger,375-797 hp,410-470 lb-ft,8-speed automatic,RWD/AWD,19/30 mpg,2-4,"Starting at $31,490",2023-2024,Coupe,V6/V8/HEMI,6-8
Dodge,Charger,370-797 hp,395-470 lb-ft,8-speed automatic,RWD/AWD,19/30 mpg,4,"Starting at $30,290",2023-2024,Sedan,V6/V8/HEMI,6-8
Dodge,Durango,295-395 hp,260-410 lb-ft,8-speed automatic,RWD/4WD,17/25 mpg,5,"Starting at $33,090",2023-2024,SUV,V6/V8,6-8
Dodge,Journey,174-292 hp,166-260 lb-ft,9-speed automatic,FWD/AWD,21/31 mpg,5,"Starting at $23,690",2023-2024,SUV,4-cylinder,4
Dodge,RAM 1500,295-410 hp,330-429 lb-ft,8-speed automatic,RWD/4WD,16/23 mpg,2-4,"Starting at $29,995",2023-2024,Truck,V6/V8,6-8
Dodge,RAM 2500,350-420 hp,460-485 lb-ft,6-speed automatic,RWD/4WD,14/20 mpg,2-4,"Starting at $35,595",2023-2024,Truck,V6/V8,6-8
Dodge,RAM 3500,375-420 hp,460-485 lb-ft,6-speed automatic,RWD/4WD,14/20 mpg,2-4,"Starting at $39,145",2023-2024,Truck,V6/V8,6-8
Ram,1500,295-410 hp,330-429 lb-ft,8-speed automatic,RWD/4WD,16/23 mpg,2-4,"Starting at $29,995",2023-2024,Truck,V6/V8,6-8
Ram,2500,350-420 hp,460-485 lb-ft,6-speed automatic,RWD/4WD,14/20 mpg,2-4,"Starting at $35,595",2023-2024,Truck,V6/V8,6-8
Ram,3500,375-420 hp,460-485 lb-ft,6-speed automatic,RWD/4WD,14/20 mpg,2-4,"Starting at $39,145",2023-2024,Truck,V6/V8,6-8
Ram,TRX,702 hp,650 lb-ft,8-speed automatic,RWD/4WD,12/17 mpg,2-4,"Starting at $79,995",2023-2024,Truck,V8,8
Volvo,XC40,187 hp,221 lb-ft,8-speed automatic,FWD/AWD,23/32 mpg,5,"Starting at $33,100",2023-2024,SUV,4-cylinder,4
Volvo,XC60,250 hp,258 lb-ft,8-speed automatic,FWD/AWD,22/30 mpg,5,"Starting at $41,900",2023-2024,SUV,4-cylinder,4
Volvo,XC90,250 hp,295 lb-ft,8-speed automatic,FWD/AWD,19/27 mpg,5,"Starting at $49,900",2023-2024,SUV,4-cylinder,4
